"","annee_naissance","age","emploi","revenu","genre","citoyennete","ethnie","minorite","education","religion","reseau_social","residence","naissance_pays_residence","cohabitation","droit_vote","province","naissance_province_residence","classe_sociale","classe_sociale_parents","langue","province_naissance_parents","pays_naissance_parents","climat_social","covid_satisfaction","covid_soin","covid_gestion","covid_inquietude","covid_jeune","covid_politiques","immigration_ouverture","immigration_syrie","climat_economie","transition_energetique_taxes","climat_impact","confiance_police","securite_quartier","securite_gouvernement","securite_immigration","securite_frontieres","immigration_quotas","minorites_partis","corruption","corruption_participation","corruption_evaluation_partis","mondialisation","economie_sociotropique","economie_egotropique","economie_satisfaction","economie_preoccupation","economie_criteres","economieCANADA_confiance","economieFRANCE_confiance","immigrationCANADA_confiance","immigrationFRANCE_confiance","deficit","representation_minorites","enjeux_chomage","enjeux_environnement","enjeux_immigration","enjeux_economie","enjeux_education","enjeux_sante","importance_immigration","importance_ecologie","inquietude_attentats","ideologie","satisfaction_democracie","satisfaction_gouvernement","institutions_democratiques","vote_demonstration","confiance_ChefEtat","altruisme_politiques","education_civique","ecoles","comprehension_elites","importance_vote","importance_representation","disproportion_electorale","partis_votes","votes_objectif","votes_delais","reedition_compte","importance_chef","interet_politique","interet_politiqueUS","connaissances_politiqueUS","engagement_politique","proche_parti","importance_traits","trait_integrite","trait_leadership","trait_competence","trait_empathie","representation_partis","mode_scrutin","changement_scrutin","vote_nationaliste","integration_localite","parti_liberal","parti_conservateur","ndp","bloc_quebecois","parti_vert","source_information","reseausociaux_cause","medias_traditionnels","consultation_sondage1","consultation_sondageCANADA","consultation_sondageFRANCE","principale_source","engagement_reseauxsociaux","abonnements_personnalites","frequence_utilisation","inscription_reseauxsociaux","contact_information","plateforme","couverture_influence","medias_neutralite","influence_medias","biais_medias","chaines_independance","niveau_information","effet_debats","importance_debatsTV","confiance_contenuRS","confiance_TVRadio","confiance_presseecrite","site_parti","like_parti","sophistication_etatsunis","sophistication_freeland","sophistication_legault","sophistication_macron","sophistication_pence","sophistication_singh","participation","vote_quebec2018_CAQ","vote_quebec2018_PQ","vote_quebec2018_PLQ","vote_quebec2018_QS","vote_quebec2018_vert","vote_quebec2018_autre","vote_quebec2018_bulletinnul","vote_quebec2018_pasvote","vote_US","vote_habitude","vote_memeparti","vote_france_enmarche","vote_france_republicains","vote_france_verts","vote_france_PS","vote_france_RN","vote_france_insoumise","vote_canada_liberal","vote_canada_conservateur","vote_canada_npd","vote_canada_bloc","vote_canada_vert","vote_canada_autre","vote_quebec_CAQ","vote_quebec_PQ","vote_quebec_PLQ","vote_quebec_QS","vote_quebec_vert","vote_quebec_autre","anciens_presidents","vote_strategique","aucune_preference","preference_parti","satisfaction_modescrutin","vote_chancesfavoris","importance_competence","motivation","premier_choix","strategie_vote2","autrechoix_frequence","refus_voteCANADA","refus_voteFRANCE"
"282",1994,26,"Salarié à temps plein","$30,000 à $60,000","Femme","France",NA,NA,"universitaire premier cycle","assez important","oui, quelques-uns","France",2,2,1,NA,NA,"classe moyenne",2,2,"oui","oui","amélioré","Très satisfait",1,"Satisfait",7,"Bloc Québécois","Les politiques sont mauvaises","Beaucoup plus d'ouverture","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord",NA,"Fortement d’accord","Fortement d’accord","Bloc Québécois","Assez répandue",7,7,"Très bonne opinion","améliorée","améliorée","Très satisfaisant","Moyennement","Je vais faire un bilan des politiques mises en place pendant le mandat ",NA,"Parti socialiste",NA,"Républicains",1,"Beaucoup plus importante",6,5,2,1,4,3,6,"Beaucoup","Pas du tout inquiet",3,"Très satisfait","Peu satisfait","Je ne m’y intéresse que très peu parce que je ne suis pas intéressé.e par a politique","Non, pas envers l’élite politique mais la démocratie seulement","Pas confiance","Pas du tout","Fortement d’accord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord",7,8,"Intéressé",7,"Manifestations et pétitions","Non",7,2,1,4,3,"De manière satisfaisante","Satisfait","Sans opinion, neutre",NA,6,5,5,6,5,5,"Réseaux sociaux","Oui, une fois","Assez","Non",NA,NA,"journaux en ligne-papier","Un peu","Oui, de tous bords politiques","Rarement",NA,"Souvent",NA,"Peu","Assez en désaccord",NA,"Assez en désaccord","Assez en désaccord","Pas du tout informé",7,6,"Un peu confiance","Un peu confiance","Moyennement confiance","Incertain","Incertain",0,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"Non, mais la plupart du temps",2,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sarkozy",8,"Voter au hasard","Voter pour le parti adverse en espérant passer un message","Ni satisfait, ni insatisfait","Je ne sais pas si je voterais",8,"Le candidat","Non","Oui","Une élection sur deux",NA,"Républicains"
"283",1994,26,"Salarié à temps plein","$30,000 à $60,000","Homme","Canada","Français",2,"universitaire premier cycle","pas important du tout","oui, quelques-uns","Canada",1,2,1,"QC",1,"classe moyenne",1,1,"oui","oui","resté stable","Très satisfait",2,"Très satisfait",6,"Parti libéral","Les politiques sont idéales","Un peu plus d'ouverture","Plutôt en désaccord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Ni en accord, ni en désaccord",NA,"Assez en désaccord","Plutôt en désaccord","Parti libéral","Pas du tout répandue",1,4,"Ni bonne ni mauvaise opinion","détériorée","resté stable","Assez satisfaisant","Peu","Je vais davantage m’intéresser aux politiques proposées","Parti libéral",NA,"Parti libéral",NA,2,"Beaucoup plus importante",2,5,6,4,1,3,0,"Beaucoup",NA,3,"Assez satisfait","Grandement satisfait","J’y suis très attaché.e et je m’y intéresse beaucoup","Oui, mais de moins en moins","Beaucoup confiance","Peu","Fortement d’accord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Plutôt d’accord","Assez en désaccord","Fortement d’accord","Fortement d’accord","Fortement d’accord",7,10,"Très intéressé",7,"Le vote","Oui",10,3,4,2,1,"De manière satisfaisante","Satisfait","Plutôt en faveur",1,10,10,2,8,0,9,"Réseaux sociaux","Oui, plusieurs fois","Assez","Oui","Parti libéral",NA,"Réseaux sociaux","Oui","Oui, de tous bords politiques","1-2 heure/jour",4,"Systématiquement","Facebook","Assez","Plutôt d’accord",NA,"Assez en désaccord","Plutôt d’accord","Bien informé",4,6,"Moyennement confiance","Beaucoup confiance","Beaucoup confiance","Non","Non",1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,"Hollande",4,"Choisir l'option la moins pire","Voter pour le parti adverse en espérant passer un message","Satisfait","J'irais certainement voter",8,"Ni l'un ni l'autre","Oui",NA,"Une élection sur trois","Bloc Québécois",NA
"284",1994,26,"Salarié à temps plein","Je ne sais pas / Préfère ne pas répondre)","Femme","France",NA,NA,"Secondaire / Collégiales / CEGEP / Lycée / DEP","pas important du tout","non aucun","France",1,2,1,NA,NA,"classe moyenne",1,1,"non","oui","resté stable","Très insatisfait",2,"Peu satisfait",5,NA,"Les politiques sont mauvaises","Beaucoup plus d'ouverture","Plutôt d’accord","Plutôt d’accord","Assez en désaccord","Fortement d’accord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Plutôt d’accord",NA,"Plutôt d’accord","Ni en accord, ni en désaccord",NA,"Assez répandue",9,0,"Ni bonne ni mauvaise opinion",NA,"resté stable","Peu satisfaisant","Moyennement",NA,NA,NA,NA,NA,1,NA,2,6,4,5,1,3,0,"Un peu","Particulièrement inquiet",NA,"Peu satisfait","Peu satisfait","Je ne m’y intéresse que très peu parce que je ne suis pas intéressé.e par a politique",NA,"Moyennement confiance","Pas du tout","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Plutôt d’accord","Plutôt d’accord","Ni en accord, ni en désaccord",NA,NA,"Plutôt d’accord","Ni en accord, ni en désaccord",NA,0,"désintéressé",0,"Aucun","Ne sais pas",NA,2,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Réseaux sociaux","Non","Pas du tout","Non",NA,NA,NA,"Pas du tout","Non","Moins d'une heure/jour",2,"Jamais",NA,"Pas du tout","Fortement d’accord",NA,"Plutôt d’accord","Assez en désaccord","Pas du tout informé",NA,NA,"Pas confiance","Pas confiance","Pas confiance","Oui","Oui",NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non, jamais",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ne pas voter","Voter pour ce parti quand même",NA,NA,NA,NA,"Non",NA,NA,NA,NA
"285",1994,26,"Salarié à temps plein","moins de $30,000","Femme","Autre",NA,1,"universitaire deuxième cycle et plus","Très important",NA,"Autre",1,2,1,NA,NA,"classe moyenne",1,1,"non","oui","détérioré","Très insatisfait",2,"Très insatisfait",5,NA,"Les politiques sont mauvaises","Un peu plus d'ouverture","Ni en accord, ni en désaccord","Plutôt d’accord","Assez en désaccord","Plutôt d’accord","Assez en désaccord","Plutôt d’accord","Plutôt d’accord",NA,"Plutôt d’accord","Plutôt d’accord",NA,"Très répandue",11,0,NA,"détériorée","resté stable","Pas du tout satisfaisant","Grandement","Je vais faire un croisement entre les politiques passées et les perspectives proposées",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,"Aucune",NA,5,"Assez satisfait","Pas du tout satisfait","Je ne m’y intéresse que très peu parce que je ne suis pas intéressé.e par a politique","Non, pas envers l’élite politique mais la démocratie seulement","Peu confiance","Peu","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Plutôt en désaccord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord","Fortement en désaccord","Plutôt d’accord","Fortement d’accord",0,0,"Peu intéressé",4,"Aucun","Non",0,3,2,1,4,"Ne s'applique pas","Ne s'applique pas","Ne s'applique pas",NA,0,0,0,0,0,0,"Réseaux sociaux","Oui, une fois","Assez","Non",NA,NA,"Réseaux sociaux","Un peu","Non","plus de 3 heures/jour",4,"Systématiquement","Twitter","Pas du tout","Fortement d’accord",NA,"Plutôt d’accord","Assez en désaccord","Plutôt informé",5,10,"Moyennement confiance","Beaucoup confiance","Moyennement confiance","Non","Non",NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non, jamais",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Ne pas voter","Ne pas voter","Pas du tout satisfait","Je n'irais certainement pas voter",0,"Ni l'un ni l'autre",NA,NA,NA,NA,NA
"286",1994,26,"Salarié à temps plein","moins de $30,000","Femme","France",NA,2,"universitaire deuxième cycle et plus","pas très important","non aucun","France",1,2,1,NA,NA,"classe moyenne",1,1,"oui","oui","détérioré","Très insatisfait",2,"Peu satisfait",2,NA,"Les politiques sont mauvaises","Un peu plus d'ouverture","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Plutôt d’accord","Fortement d’accord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord",NA,"Plutôt d’accord","Ni en accord, ni en désaccord",NA,"Assez répandue",6,5,"Ni bonne ni mauvaise opinion","détériorée","améliorée","Sans opinion","Peu","Je vais faire un croisement entre les politiques passées et les perspectives proposées",NA,NA,NA,NA,1,NA,6,5,4,2,3,1,4,"Un peu","Peu inquiet",5,"Assez satisfait","Moyennement satisfait","Je ne m’y intéresse que très peu parce que je ne suis pas intéressé.e par a politique","Non, cela n'a rien à voir","Confiance","Pas du tout","Assez en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord","Fortement d’accord","Plutôt d’accord","Ni en accord, ni en désaccord",NA,"Plutôt d’accord","Plutôt d’accord","Ni en accord, ni en désaccord",5,2,"Peu intéressé",2,"Le vote",NA,6,1,3,4,2,NA,"Neutre","Plutôt en faveur",NA,5,NA,NA,NA,NA,NA,"Télévision","Non","Assez","Non",NA,NA,"journaux en ligne-papier","Un peu","Non","1-2 heure/jour",3,"Rarement","Autre",NA,"Plutôt d’accord",NA,"Plutôt d’accord","Ni en accord, ni en désaccord","Pas très informé",3,6,"Moyennement confiance","Moyennement confiance","Un peu confiance","Oui","Oui",NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non, mais la plupart du temps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Ne pas voter","Voter pour ce parti quand même","Ni satisfait, ni insatisfait","J'irais certainement voter",5,"L'idéologie","Oui",NA,NA,NA,NA
"287",1994,26,"Salarié à temps plein","moins de $30,000","Homme","France",NA,2,"universitaire premier cycle","pas très important","oui, quelques-uns","France",1,2,1,NA,NA,"classe moyenne",1,1,"oui","oui","resté stable","Peu satisfait",2,"Peu satisfait",5,NA,"Les politiques sont adéquates, mais l'économie souffre","Neutre","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Assez en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Plutôt d’accord","Plutôt d’accord",NA,"Ni en accord, ni en désaccord","Ni en accord, ni en désaccord",NA,"Assez répandue",6,5,"Ni bonne ni mauvaise opinion","resté stable","améliorée","Assez satisfaisant","Moyennement","Je vais faire un croisement entre les politiques passées et les perspectives proposées",NA,"Aucun",NA,"Aucun",2,"Ni plus ni moins importante",4,5,1,6,2,3,5,"Un peu","Peu inquiet",6,"Assez satisfait","Moyennement satisfait",NA,"Non, pas envers l’élite politique mais la démocratie seulement","Moyennement confiance","Moyennement","Assez en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Plutôt en désaccord",5,6,"Peu intéressé",3,"pas sûr","Non",5,3,1,2,4,"Ne s'applique pas","Ne s'applique pas","Ne s'applique pas",NA,6,5,5,NA,NA,NA,"Articles internet","Non","Assez","Oui",NA,NA,"journaux en ligne-papier","Pas du tout","Non","Rarement",1,"Rarement",NA,"Assez","Fortement d’accord",NA,"Ni en accord, ni en désaccord","Plutôt en désaccord","Plutôt informé",5,8,"Un peu confiance","Moyennement confiance","Moyennement confiance","Oui","Oui",NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Ne pas voter","Voter pour ce parti quand même","Ni satisfait, ni insatisfait","J'irais certainement voter",8,"L'idéologie","Oui",NA,"À aucune élection",NA,"RN"
"288",1994,26,NA,"$90,000 à 110,000","Femme","Canada","Français",2,"universitaire deuxième cycle et plus","pas important du tout","oui, beaucoup","Canada",1,2,1,"QC",1,"classe moyenne",1,1,"oui","oui","détérioré","Peu satisfait",1,"Peu satisfait",10,"Parti vert","Les politiques sont adéquates, mais l'économie souffre","Un peu plus d'ouverture","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord",NA,"Ni en accord, ni en désaccord","Plutôt en désaccord","Parti libéral","Peu répandue",10,10,"Plutôt bonne opinion","détériorée","améliorée","Assez satisfaisant","Grandement","Je vais faire un croisement entre les politiques passées et les perspectives proposées","Parti libéral",NA,"Parti libéral",NA,2,"Beaucoup plus importante",3,2,5,4,6,1,7,"Beaucoup",NA,3,"Très satisfait","Moyennement satisfait","Je ne m’y intéresse que très peu parce que je ne suis pas intéressé.e par a politique","Oui, totalement","Moyennement confiance","Moyennement","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Ni en accord, ni en désaccord","Fortement d’accord","Fortement d’accord","Fortement d’accord",7,6,"Indifférent",6,"Le vote","Non",6,3,1,4,2,"De manière satisfaisante","Neutre","Sans opinion, neutre",4,10,6,1,6,7,9,"Réseaux sociaux","Oui, une fois","Peu","Non",NA,NA,"Réseaux sociaux","Un peu","Oui, de tous bords politiques","1-2 heure/jour",NA,"Rarement","Facebook","Peu","Fortement d’accord",NA,"Assez en désaccord","Assez en désaccord","Pas très informé",7,7,"Un peu confiance","Moyennement confiance","Moyennement confiance","Oui","Oui",1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,NA,10,"Ne pas voter","Ne pas voter","Ni satisfait, ni insatisfait","Je ne sais pas si je voterais",8,"Ni l'un ni l'autre","Non","Non","À aucune élection","Parti conservateur",NA
"289",1994,26,NA,"moins de $30,000","Femme","Canada","Français",2,"universitaire deuxième cycle et plus","pas très important","oui, quelques-uns","Canada",1,2,1,"QC",1,"classe moyenne",1,1,"oui","oui","détérioré","Satisfait",2,"Peu satisfait",6,"NPD","Les politiques sont adéquates, mais l'économie souffre","Beaucoup plus d'ouverture","Plutôt en désaccord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Plutôt en désaccord","Ni en accord, ni en désaccord","Assez en désaccord",NA,"Ni en accord, ni en désaccord","Plutôt en désaccord","NDP","Assez répandue",8,10,"Plutôt mauvaise opinion","détériorée","resté stable","Peu satisfaisant","Pas du tout","Je vais davantage m’intéresser aux politiques proposées","Parti libéral",NA,"NPD",NA,2,"Beaucoup plus importante",5,2,3,6,1,4,8,"Beaucoup",NA,2,"Assez satisfait","Grandement satisfait","J’y suis très attaché.e et je m’y intéresse beaucoup","Non, pas envers l’élite politique mais la démocratie seulement","Beaucoup confiance","Correctement","Plutôt d’accord","Fortement d’accord","Assez en désaccord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Assez en désaccord","Fortement d’accord","Fortement d’accord","Assez en désaccord",7,8,"Intéressé",6,"Manifestations, pétitions et vote","Oui",4,3,2,1,4,"De manière satisfaisante","Peu satisfait","Tout à fait en faveur",10,10,7,0,9,5,8,"Télévision","Oui, une fois","Beaucoup","Non",NA,NA,"journaux en ligne-papier","Un peu","Oui, ceux qui partagent les opinions","1-2 heure/jour",2,"Systématiquement","Facebook","Peu","Ni en accord, ni en désaccord",NA,"Plutôt en désaccord","Plutôt en désaccord","Bien informé",5,10,"Moyennement confiance","Beaucoup confiance","Beaucoup confiance","Non","Non",NA,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,"Oui, je vote toujours",1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,"Macron",7,"Choisir l'option la moins pire","Voter pour ce parti quand même","Satisfait","J'irais certainement voter",9,"L'idéologie","Oui",NA,"Une élection sur trois","Parti conservateur",NA
"290",1994,26,NA,"moins de $30,000","Femme","France",NA,2,"universitaire premier cycle","pas important du tout","oui, quelques-uns","France",1,2,1,NA,NA,"classe ouvrière",2,1,"non","oui","détérioré","Peu satisfait",NA,"Peu satisfait",8,NA,NA,NA,NA,NA,"Assez en désaccord","Plutôt d’accord","Assez en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord",NA,NA,NA,NA,NA,3,NA,"Ni bonne ni mauvaise opinion","détériorée","détériorée","Pas du tout satisfaisant","Moyennement",NA,NA,NA,NA,NA,NA,NA,5,6,4,2,1,3,NA,"Un peu",NA,NA,"Peu satisfait","Peu satisfait","Je ne m’y intéresse pas du tout parce que je n’y crois plus","Non, cela n'a rien à voir","Pas confiance","Pas du tout","Fortement en désaccord","Ni en accord, ni en désaccord","Fortement d’accord","Fortement d’accord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Plutôt d’accord","Assez en désaccord",6,1,"Peu intéressé",3,NA,"Non",6,4,3,1,2,"Pas du tout",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Articles internet",NA,NA,NA,NA,NA,NA,NA,"Non","plus de 3 heures/jour",4,NA,NA,NA,NA,NA,NA,NA,"Pas très informé",NA,NA,"Moyennement confiance",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Choisir l'option la moins pire","Voter pour ce parti quand même",NA,NA,8,"L'idéologie","Oui",NA,NA,NA,NA
"291",1995,25,"Étudiant","Je ne sais pas / Préfère ne pas répondre)","Femme","Autre",NA,NA,"universitaire premier cycle","assez important","oui, quelques-uns","Canada",2,1,1,"QC",2,NA,NA,1,"non","non",NA,"Peu satisfait",NA,"Peu satisfait",6,NA,"Les politiques sont adéquates, mais l'économie souffre","Neutre","Assez en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord",NA,"Assez en désaccord","Assez en désaccord",NA,NA,8,7,"Plutôt bonne opinion","détériorée",NA,NA,"Moyennement","Je vais faire un croisement entre les politiques passées et les perspectives proposées",NA,NA,NA,NA,NA,"Plus importante",6,4,1,2,5,3,3,NA,NA,5,"Peu satisfait","Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Non, pas envers l’élite politique mais la démocratie seulement","Moyennement confiance","Correctement","Assez en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord","Fortement d’accord",NA,"Ni en accord, ni en désaccord","Ni en accord, ni en désaccord",NA,NA,NA,6,3,"Indifférent",3,"Le vote","Ne sais pas",6,2,1,3,4,NA,"Neutre","Sans opinion, neutre",3,7,4,3,NA,NA,NA,NA,NA,NA,"Non",NA,NA,"Réseaux sociaux",NA,NA,"1-2 heure/jour",3,NA,NA,"Peu","Assez en désaccord",NA,"Assez en désaccord","Assez en désaccord",NA,4,4,"Un peu confiance","Un peu confiance","Un peu confiance",NA,"Oui",1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,NA,4,"Choisir l'option la moins pire","Voter pour ce parti quand même",NA,"Je ne sais pas si je voterais",6,NA,NA,NA,NA,NA,NA
"292",1995,25,"Étudiant","moins de $30,000","Homme","Canada","Français",2,"universitaire premier cycle","pas important du tout","oui, beaucoup","Canada",1,2,1,"QC",1,NA,1,1,"oui","oui","détérioré","Satisfait",2,"Peu satisfait",5,"NPD",NA,"Beaucoup plus d'ouverture","Plutôt en désaccord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Assez en désaccord","Fortement d’accord",NA,NA,"Ni en accord, ni en désaccord","Plutôt en désaccord","NDP","Assez répandue",3,5,"Plutôt bonne opinion","détériorée","détériorée","Assez satisfaisant","Peu","Je vais davantage m’intéresser aux politiques proposées","NPD",NA,"NPD",NA,2,"Beaucoup plus importante",2,6,5,1,3,4,1,"Beaucoup",NA,1,"Peu satisfait","Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Non, pas envers l’élite politique mais la démocratie seulement","Confiance","Peu","Fortement en désaccord","Fortement d’accord","Assez en désaccord","Plutôt d’accord","Assez en désaccord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Plutôt d’accord",6,NA,"Très intéressé",8,"Manifestations, pétitions et vote","Oui",8,3,1,2,4,"De manière satisfaisante","Peu satisfait","Tout à fait en faveur",5,10,4,0,8,4,6,"Journaux","Oui, plusieurs fois","Beaucoup","Oui","Parti libéral",NA,"journaux en ligne-papier","Un peu","Oui, de tous bords politiques","1-2 heure/jour",4,"Systématiquement","Autre","Pas du tout","Plutôt d’accord",NA,"Plutôt d’accord","Plutôt d’accord","Bien informé",0,10,"Moyennement confiance","Moyennement confiance","Moyennement confiance","Non","Non",1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,NA,"Oui, je vote toujours",1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,"De Gaulle",0,"Ne pas voter","Voter pour ce parti quand même","Pas du tout satisfait","J'irais certainement voter",7,"L'idéologie","Oui",NA,"À aucune élection","Parti conservateur",NA
"293",1995,25,"Étudiant","moins de $30,000","Homme","Canada",NA,2,"universitaire deuxième cycle et plus","pas important du tout","oui, quelques-uns","Canada",1,2,1,"QC",1,"classe ouvrière",1,1,"oui","oui","détérioré","Peu satisfait",2,"Peu satisfait",8,"NPD",NA,"Beaucoup plus d'ouverture","Plutôt en désaccord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Plutôt en désaccord","Fortement d’accord","Plutôt en désaccord",NA,"Plutôt en désaccord","Plutôt en désaccord","NDP","Peu répandue",4,10,"Plutôt mauvaise opinion","détériorée","améliorée","Assez satisfaisant","Moyennement","Je vais davantage m’intéresser aux politiques proposées","NPD",NA,"NPD",NA,2,"Beaucoup plus importante",2,6,1,5,3,4,8,"Beaucoup",NA,1,"Peu satisfait","Pas du tout satisfait","J’y suis très attaché.e et je m’y intéresse beaucoup","Non, pas envers l’élite politique mais la démocratie seulement","Pas confiance","Pas du tout","Plutôt en désaccord","Ni en accord, ni en désaccord","Fortement en désaccord","Ni en accord, ni en désaccord","Plutôt en désaccord","Fortement d’accord","Plutôt en désaccord","Fortement d’accord","Fortement d’accord","Fortement d’accord",5,10,"Très intéressé",7,"Manifestations, pétitions et vote","Oui",4,1,4,3,2,"Tout à fait","Peu satisfait","Tout à fait en faveur",10,10,1,0,6,2,2,"Réseaux sociaux","Oui, plusieurs fois","Beaucoup","Oui","Parti libéral",NA,"Amis",NA,"Oui, ceux qui partagent les opinions","plus de 3 heures/jour",2,"Systématiquement","Facebook","Pas du tout","Plutôt en désaccord",NA,NA,"Plutôt en désaccord","Bien informé",0,10,"Moyennement confiance","Moyennement confiance","Moyennement confiance","Non","Non",1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,"Non, mais la plupart du temps",1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,4,"Ne pas voter","Voter pour ce parti quand même","Pas du tout satisfait","J'irais certainement voter",3,"L'idéologie","Oui",NA,"Une élection sur trois","Parti conservateur",NA
